taxonomy,drupal_internal__tid,drupal_internal__revision_id,langcode,revision_created,status,name,weight,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_created,unique_id,authority,fast
taxonomy_term--subject,3500,3500,en,2021-10-08T20:37:14+00:00,True,Voyages and travels,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,c954aa4b-cee8-4fbf-be12-c60e87868c52,http://id.worldcat.org/fast/1169308;fast,http://id.worldcat.org/fast/1169308
taxonomy_term--subject,3501,3501,en,2021-10-08T20:37:14+00:00,True,Wages,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,cad484a4-83a5-4e13-b6d1-8a820bdc1b16,http://id.worldcat.org/fast/1169492;fast,http://id.worldcat.org/fast/1169492
taxonomy_term--subject,3502,3502,en,2021-10-08T20:37:14+00:00,True,"Walden (Thoreau, Henry David)",0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,ff89077e-c7db-4025-86c8-c8e73d22182a,http://id.worldcat.org/fast/1356368;fast,http://id.worldcat.org/fast/1356368
taxonomy_term--subject,3503,3503,en,2021-10-08T20:37:14+00:00,True,Water efficiency,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,17aa3863-e90c-40d2-a2ef-d0f666580308,http://id.worldcat.org/fast/1171716;fast,http://id.worldcat.org/fast/1171716
taxonomy_term--subject,3504,3504,en,2021-10-08T20:37:14+00:00,True,Water rights,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,76c6c54a-aae3-4d00-a045-2aa6c13991dc,http://id.worldcat.org/fast/1172066;fast,http://id.worldcat.org/fast/1172066
taxonomy_term--subject,3505,3505,en,2021-10-08T20:37:14+00:00,True,Water treatment plants,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,11c5cf89-22a5-48a4-9ad0-f50ba8de8ae4,http://id.worldcat.org/fast/1172147;fast,http://id.worldcat.org/fast/1172147
taxonomy_term--subject,3506,3506,en,2021-10-08T20:37:14+00:00,True,Water tunnels,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,4da20ba1-5d02-498a-acec-9cd41ac7afd9,http://id.worldcat.org/fast/1172185;fast,http://id.worldcat.org/fast/1172185
taxonomy_term--subject,3507,3507,en,2021-10-08T20:37:14+00:00,True,Water use,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,d6135e60-b86e-4cb2-9c5f-82ab6c61f8db,http://id.worldcat.org/fast/1172188;fast,http://id.worldcat.org/fast/1172188
taxonomy_term--subject,3508,3508,en,2021-10-08T20:37:14+00:00,True,Water--Fluoridation,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,7fb3ac07-da0a-4f69-94d3-1387b8e2c9ca,http://id.worldcat.org/fast/1171211;fast,http://id.worldcat.org/fast/1171211
taxonomy_term--subject,3509,3509,en,2021-10-08T20:37:14+00:00,True,Water--Hardness,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,a9e8824d-55ad-460a-812e-244ec6a5e975,http://id.worldcat.org/fast/1171227;fast,http://id.worldcat.org/fast/1171227
